feature,target,decile,months,avg_n_obs,ew_mean_return,ew_median_return
network_peer_sell_pressure,fwd_ret_3m,9,295,413.0372881355932,0.02527028635024526,-0.007069927287961357
network_peer_sell_pressure,fwd_ret_3m,10,295,412.9627118644068,0.02214452153600908,-0.015887008770202108
network_weighted_degree,fwd_ret_1m,1,297,419.5723905723906,0.007543971184041918,-0.019633569023569025
network_weighted_degree,fwd_ret_1m,2,297,419.4781144781145,0.010254193206082644,-0.007568723905723907
network_weighted_degree,fwd_ret_1m,3,297,419.3703703703704,0.010426189838760097,-0.0023267710437710437
network_weighted_degree,fwd_ret_1m,4,297,419.2828282828283,0.00977650813422785,0.0009998905723905725
network_weighted_degree,fwd_ret_1m,5,297,419.15488215488216,0.009912377780054884,0.0019472121212121209
network_weighted_degree,fwd_ret_1m,6,297,419.0740740740741,0.009647338422752672,0.003752818181818182
network_weighted_degree,fwd_ret_1m,7,297,418.969696969697,0.008867085431333322,0.004835688552188551
network_weighted_degree,fwd_ret_1m,8,297,418.8787878787879,0.010111633385241545,0.006574016835016835
network_weighted_degree,fwd_ret_1m,9,297,418.7946127946128,0.008669882396157024,0.006729744107744108
network_weighted_degree,fwd_ret_1m,10,297,418.67003367003366,0.008533354337821653,0.008086882154882154
network_weighted_degree,fwd_ret_3m,1,295,413.87118644067795,0.017209058038791223,-0.04061545517009312
network_weighted_degree,fwd_ret_3m,2,295,413.76271186440675,0.030263804353776656,-0.00976039326844862
network_weighted_degree,fwd_ret_3m,3,295,413.6813559322034,0.033348341693844354,0.0023359872748252336
network_weighted_degree,fwd_ret_3m,4,295,413.56610169491523,0.031100843821851926,0.009379954384326691
network_weighted_degree,fwd_ret_3m,5,295,413.47457627118644,0.030880605593583996,0.012450395867656835
network_weighted_degree,fwd_ret_3m,6,295,413.3491525423729,0.029336614977890595,0.014728597322993342
network_weighted_degree,fwd_ret_3m,7,295,413.2610169491525,0.028396841988232724,0.016927893071997265
network_weighted_degree,fwd_ret_3m,8,295,413.1457627118644,0.030198839572731145,0.020677091483014835
network_weighted_degree,fwd_ret_3m,9,295,413.0372881355932,0.026459294695386954,0.02136093022337604
network_weighted_degree,fwd_ret_3m,10,295,412.9627118644068,0.02614060644703845,0.02406121828101904
owner_count,fwd_ret_1m,1,297,419.5723905723906,0.004087587263509278,-0.013890409090909092
owner_count,fwd_ret_1m,2,297,419.4781144781145,0.01101489184728905,-0.005067281144781145
owner_count,fwd_ret_1m,3,297,419.3703703703704,0.010942589601168099,-0.0038842188552188554
owner_count,fwd_ret_1m,4,297,419.2828282828283,0.010598447143747395,-0.0014076077441077441
owner_count,fwd_ret_1m,5,297,419.15488215488216,0.009858087327286807,0.00017852020202020202
owner_count,fwd_ret_1m,6,297,419.0740740740741,0.008889317242871458,0.002411459595959596
owner_count,fwd_ret_1m,7,297,418.969696969697,0.010221834122068273,0.004787188552188553
owner_count,fwd_ret_1m,8,297,418.8787878787879,0.009732511765797444,0.006822910774410774
owner_count,fwd_ret_1m,9,297,418.7946127946128,0.009599488772246579,0.008303099326599327
owner_count,fwd_ret_1m,10,297,418.67003367003366,0.008802891625149618,0.008374939393939393
owner_count,fwd_ret_3m,1,295,413.87118644067795,0.010366456171141002,-0.028976676927528713
owner_count,fwd_ret_3m,2,295,413.76271186440675,0.03118658728314806,-0.0041391040107399335
owner_count,fwd_ret_3m,3,295,413.6813559322034,0.03433771505730492,-6.130032135880521e-05
owner_count,fwd_ret_3m,4,295,413.56610169491523,0.03422619533565909,0.00483805759898666
owner_count,fwd_ret_3m,5,295,413.47457627118644,0.02902532092194719,0.005643081270128567
owner_count,fwd_ret_3m,6,295,413.3491525423729,0.02790151603665866,0.010587117794219773
owner_count,fwd_ret_3m,7,295,413.2610169491525,0.030618597881230735,0.01710220223133157
owner_count,fwd_ret_3m,8,295,413.1457627118644,0.02947749949938032,0.02219933176502147
owner_count,fwd_ret_3m,9,295,413.0372881355932,0.029420384184541223,0.024505211496315224
owner_count,fwd_ret_3m,10,295,412.9627118644068,0.026784470950864843,0.02463081403980588
owner_hhi,fwd_ret_1m,1,297,419.5723905723906,0.009501027441087205,0.008677117845117845
owner_hhi,fwd_ret_1m,2,297,419.4781144781145,0.009412643660008392,0.007395053872053871
owner_hhi,fwd_ret_1m,3,297,419.3703703703704,0.00985324042147399,0.006971314814814815
owner_hhi,fwd_ret_1m,4,297,419.2828282828283,0.010130711797824307,0.005835510101010101
owner_hhi,fwd_ret_1m,5,297,419.15488215488216,0.010264511761024121,0.003646863636363636
owner_hhi,fwd_ret_1m,6,297,419.0740740740741,0.01058015974769227,0.0017702878787878786
owner_hhi,fwd_ret_1m,7,297,418.969696969697,0.009846446355715983,-0.002317626262626263
owner_hhi,fwd_ret_1m,8,297,418.8787878787879,0.009425629251276525,-0.005776188552188552
owner_hhi,fwd_ret_1m,9,297,418.7946127946128,0.010108516877937901,-0.008888314814814814
owner_hhi,fwd_ret_1m,10,297,418.67003367003366,0.004604770332142162,-0.01527146632996633
owner_hhi,fwd_ret_3m,1,295,413.87118644067795,0.028769849893810085,0.026331109136137284
owner_hhi,fwd_ret_3m,2,295,413.76271186440675,0.028313318502277827,0.023400285078178713
owner_hhi,fwd_ret_3m,3,295,413.6813559322034,0.029466849304340972,0.02191195869559234
owner_hhi,fwd_ret_3m,4,295,413.56610169491523,0.030982339024213833,0.018867093789789825
owner_hhi,fwd_ret_3m,5,295,413.47457627118644,0.032320459239971185,0.016385991940917714
owner_hhi,fwd_ret_3m,6,295,413.3491525423729,0.032349253775634745,0.009658151165413666
owner_hhi,fwd_ret_3m,7,295,413.2610169491525,0.031226191999145718,0.0023103166627817346
owner_hhi,fwd_ret_3m,8,295,413.1457627118644,0.028388915893879953,-0.005800672477938047
owner_hhi,fwd_ret_3m,9,295,413.0372881355932,0.029063144636176565,-0.014169743878968069
owner_hhi,fwd_ret_3m,10,295,412.9627118644068,0.0124419906048185,-0.03153084794584755
stock_sell_pressure,fwd_ret_1m,1,297,419.5723905723906,0.005039245814380273,-0.003541119528619529
stock_sell_pressure,fwd_ret_1m,2,297,419.4781144781145,0.008758175540155492,0.0007781902356902357
