model,target,regime,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
lgbm_network_pressure,fwd_ret_1m,2012_2016_early_oos,217567,60,0.038249125169077636,3.0574390653639028,0.002481118723175112,0.7854371276360302,0.029773424678101342,0.5347101466149276,30.605029803769458,363.15,362.15,0.41253637664638054
lgbm_network_pressure,fwd_ret_1m,2017_2019_pre_covid,122051,36,0.04358239289060839,6.3923819744428,0.0066529451412636765,2.8632681457728895,0.07983534169516412,0.5224444533006369,40.86069883508406,339.55555555555554,338.55555555555554,1.0926632243354002
lgbm_network_pressure,fwd_ret_1m,2020_covid,40587,12,0.0022439708645355084,0.1724328174694114,0.006301846717951711,0.4492142880311936,0.07562216061542053,0.55915042318557,11.65721213347911,338.75,337.75,0.2508470491097311
lgbm_network_pressure,fwd_ret_1m,2021_2022_rate_hike,98365,24,0.024068544883328515,1.8192492410863403,0.01048814712428882,1.7240296189137863,0.12585776549146585,0.49549801156631473,21.543274802911412,410.2916666666667,409.2916666666667,1.350646175675024
lgbm_network_pressure,fwd_ret_1m,2023_2025_recent,91026,23,-0.040697644809337616,-3.1408697465286664,-0.00501955026977501,-0.5109839382244485,-0.06023460323730012,0.47599555921263126,25.238436260206637,396.2173913043478,395.2173913043478,-0.35270145327621194
lgbm_network_pressure,fwd_ret_1m,all_oos,569596,155,0.022789939039781326,2.80177559433131,0.003872652799158233,1.5743418402987024,0.046471833589898794,0.5189694473124356,47.85898042790392,367.98709677419356,366.98709677419356,0.37419313353863537
lgbm_network_pressure,fwd_ret_3m,2012_2016_early_oos,215118,60,0.04797102892695974,2.964779890412864,0.011015286589282684,0.9668128010656472,0.04406114635713074,0.5523589028514639,23.234938594755427,359.0833333333333,358.0833333333333,0.429719853791793
lgbm_network_pressure,fwd_ret_3m,2017_2019_pre_covid,120694,36,0.027933765482604886,1.7727233743432311,0.015032090380566764,1.6756255025375892,0.060128361522267054,0.5140135988731657,19.886881509545418,335.75,334.75,0.6571196499836411
lgbm_network_pressure,fwd_ret_3m,2020_covid,40243,12,0.001704159410429574,0.12833625694450077,0.04554523197670107,3.0642803744508273,0.1821809279068043,0.6561783658144089,8.916388575994336,335.9166666666667,334.9166666666667,0.788521777335536
lgbm_network_pressure,fwd_ret_3m,2021_2022_rate_hike,97321,24,0.019655127495147622,1.2938514400228178,0.007389212406093702,0.7522597997683945,0.02955684962437481,0.46378865419052645,12.561888312362882,406.0833333333333,405.0833333333333,0.30274182638125463
lgbm_network_pressure,fwd_ret_3m,2023_2025_recent,82210,21,-0.05904234781466858,-6.713173956424777,-0.0671100740789196,-4.2134457526599,-0.2684402963156784,0.5065171587066218,21.740922170770414,391.9047619047619,390.9047619047619,-1.5390190898916656
lgbm_network_pressure,fwd_ret_3m,all_oos,555586,153,0.020497784063346524,1.8914246833260822,0.0033767632344229733,0.3863648465045307,0.013507052937691893,0.5312938049261857,29.701074517297425,363.65359477124184,362.65359477124184,0.09836549601561961
lgbm_no_network,fwd_ret_1m,2012_2016_early_oos,217567,60,0.03785450709173629,4.280162885660103,0.011632876836772669,3.1542792292946187,0.13959452204127204,0.5369622151591842,28.09060094774986,363.15,362.15,1.4771708245329158
lgbm_no_network,fwd_ret_1m,2017_2019_pre_covid,122051,36,0.04819829716000148,7.1017423967241085,0.010024639096499829,2.812301653573818,0.12029566915799794,0.5190497425204544,40.50538433853272,339.55555555555554,338.55555555555554,1.241593892829826
lgbm_no_network,fwd_ret_1m,2020_covid,40587,12,0.016881028795705664,1.0432710301845842,-0.021724290848377074,-0.7369682550747716,-0.2606914901805249,0.5534048994651141,12.020780950251657,338.75,337.75,-0.5613687832506513
lgbm_no_network,fwd_ret_1m,2021_2022_rate_hike,98365,24,0.0818182103280957,7.130017296200944,0.03142344977705522,4.094960592793095,0.3770813973246626,0.5145869805967649,25.52123513069529,410.2916666666667,409.2916666666667,1.9480326608014327
lgbm_no_network,fwd_ret_1m,2023_2025_recent,91026,23,0.042774170177776925,5.490843411904331,0.026928764426240245,3.4055002988108516,0.32314517311488294,0.4958363359004521,33.952385399921994,396.2173913043478,395.2173913043478,2.1339732321876625
lgbm_no_network,fwd_ret_1m,all_oos,569596,155,0.046170480198553965,8.688859113685027,0.014010919380339869,3.66796942691861,0.16813103256407844,0.5245077786703326,50.558336396249224,367.98709677419356,366.98709677419356,0.9404420424037111
lgbm_no_network,fwd_ret_3m,2012_2016_early_oos,215118,60,0.038433119094385876,5.017630435079676,0.02170192290554472,2.8803642246786736,0.08680769162217888,0.545236737297172,24.371126159538754,359.0833333333333,358.0833333333333,0.8884305449361509
lgbm_no_network,fwd_ret_3m,2017_2019_pre_covid,120694,36,0.05137939275094106,7.430735415532996,0.018127254377658376,2.168469275603621,0.0725090175106335,0.5236912034011101,22.25017335954757,335.75,334.75,0.851770572134525
lgbm_no_network,fwd_ret_3m,2020_covid,40243,12,0.008401535237984703,0.4144049198756007,-0.061036740093987074,-0.7063452858126467,-0.2441469603759483,0.6283541985728635,9.564892911185057,335.9166666666667,334.9166666666667,-0.4910375416598925
