model,target,test_year,feature,importance
ridge_all,fwd_ret_1m,2014,z_top_owner_share,0.0021919363643974066
ridge_all,fwd_ret_1m,2014,z_fragility_proxy,0.0013942790683358908
ridge_all,fwd_ret_1m,2014,z_avg_manager_breadth,0.002368656452745199
ridge_all,fwd_ret_1m,2014,z_stock_sell_pressure,0.03790580853819847
ridge_all,fwd_ret_1m,2014,z_network_degree,0.0037002405151724815
ridge_all,fwd_ret_1m,2014,z_network_weighted_degree,0.0019529114942997694
ridge_all,fwd_ret_1m,2014,z_network_peer_sell_pressure,0.004278312437236309
ridge_all,fwd_ret_1m,2014,z_mktcap_proxy,0.0025304981973022223
ridge_all,fwd_ret_1m,2014,z_vol,0.009148841723799706
ridge_all,fwd_ret_1m,2014,z_fragility_proxy_x_stock_sell_pressure,0.003606545040383935
ridge_all,fwd_ret_1m,2014,z_fragility_proxy_x_network_peer_sell_pressure,8.60878499224782e-05
ridge_all,fwd_ret_1m,2014,z_owner_hhi_x_stock_sell_pressure,0.0010180262615904212
ridge_all,fwd_ret_1m,2014,z_network_weighted_degree_x_network_peer_sell_pressure,0.0001130243472289294
lgbm_all,fwd_ret_1m,2014,z_owner_count,3.0
lgbm_all,fwd_ret_1m,2014,z_owner_hhi,0.0
lgbm_all,fwd_ret_1m,2014,z_top_owner_share,0.0
lgbm_all,fwd_ret_1m,2014,z_fragility_proxy,0.0
lgbm_all,fwd_ret_1m,2014,z_avg_manager_breadth,0.0
lgbm_all,fwd_ret_1m,2014,z_stock_sell_pressure,14.0
lgbm_all,fwd_ret_1m,2014,z_network_degree,1.0
lgbm_all,fwd_ret_1m,2014,z_network_weighted_degree,0.0
lgbm_all,fwd_ret_1m,2014,z_network_peer_sell_pressure,2.0
lgbm_all,fwd_ret_1m,2014,z_mktcap_proxy,6.0
lgbm_all,fwd_ret_1m,2014,z_vol,3.0
lgbm_all,fwd_ret_1m,2014,z_fragility_proxy_x_stock_sell_pressure,0.0
lgbm_all,fwd_ret_1m,2014,z_fragility_proxy_x_network_peer_sell_pressure,0.0
lgbm_all,fwd_ret_1m,2014,z_owner_hhi_x_stock_sell_pressure,1.0
lgbm_all,fwd_ret_1m,2014,z_network_weighted_degree_x_network_peer_sell_pressure,0.0
lgbm_no_network,fwd_ret_1m,2014,z_owner_count,0.0
lgbm_no_network,fwd_ret_1m,2014,z_owner_hhi,1.0
lgbm_no_network,fwd_ret_1m,2014,z_top_owner_share,1.0
lgbm_no_network,fwd_ret_1m,2014,z_fragility_proxy,3.0
lgbm_no_network,fwd_ret_1m,2014,z_avg_manager_breadth,0.0
lgbm_no_network,fwd_ret_1m,2014,z_stock_sell_pressure,11.0
lgbm_no_network,fwd_ret_1m,2014,z_mktcap_proxy,7.0
lgbm_no_network,fwd_ret_1m,2014,z_vol,4.0
lgbm_no_network,fwd_ret_1m,2014,z_fragility_proxy_x_stock_sell_pressure,0.0
lgbm_no_network,fwd_ret_1m,2014,z_owner_hhi_x_stock_sell_pressure,3.0
lgbm_network_pressure,fwd_ret_1m,2014,z_stock_sell_pressure,0.0
lgbm_network_pressure,fwd_ret_1m,2014,z_network_degree,5.0
lgbm_network_pressure,fwd_ret_1m,2014,z_network_weighted_degree,11.0
lgbm_network_pressure,fwd_ret_1m,2014,z_network_peer_sell_pressure,3.0
lgbm_network_pressure,fwd_ret_1m,2014,z_fragility_proxy_x_stock_sell_pressure,6.0
lgbm_network_pressure,fwd_ret_1m,2014,z_fragility_proxy_x_network_peer_sell_pressure,0.0
lgbm_network_pressure,fwd_ret_1m,2014,z_owner_hhi_x_stock_sell_pressure,3.0
lgbm_network_pressure,fwd_ret_1m,2014,z_network_weighted_degree_x_network_peer_sell_pressure,2.0
ridge_all,fwd_ret_1m,2015,z_owner_count,0.0013498567277565598
ridge_all,fwd_ret_1m,2015,z_owner_hhi,7.221284613478929e-05
ridge_all,fwd_ret_1m,2015,z_top_owner_share,0.0012638084590435028
ridge_all,fwd_ret_1m,2015,z_fragility_proxy,0.0014146800385788083
ridge_all,fwd_ret_1m,2015,z_avg_manager_breadth,0.0024148125667124987
ridge_all,fwd_ret_1m,2015,z_stock_sell_pressure,0.03702897951006889
ridge_all,fwd_ret_1m,2015,z_network_degree,0.003389243269339204
ridge_all,fwd_ret_1m,2015,z_network_weighted_degree,0.001766849309206009
