model,target,test_year,train_months,valid_months,test_months,train_rows,valid_rows,test_rows,n_features,params_json
lgbm_no_network,fwd_ret_3m,2016,160,24,12,727797,87148,42586,10,"{""best_iteration"": 106, ""n_estimators"": 650, ""valid_score"": 0.04065151712688075}"
lgbm_network_pressure,fwd_ret_3m,2016,160,24,12,727797,87148,42586,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.04158887056756221}"
ridge_all,fwd_ret_3m,2017,172,24,12,770426,87159,41959,15,"{""alpha"": 100.0, ""valid_mse"": 0.049400635063648224}"
lgbm_all,fwd_ret_3m,2017,172,24,12,770426,87159,41959,15,"{""best_iteration"": 35, ""n_estimators"": 650, ""valid_score"": 0.049182498853494384}"
lgbm_no_network,fwd_ret_3m,2017,172,24,12,770426,87159,41959,10,"{""best_iteration"": 127, ""n_estimators"": 650, ""valid_score"": 0.04892613994847445}"
lgbm_network_pressure,fwd_ret_3m,2017,172,24,12,770426,87159,41959,8,"{""best_iteration"": 4, ""n_estimators"": 650, ""valid_score"": 0.04958863275179129}"
ridge_all,fwd_ret_3m,2018,184,24,12,814505,85165,39582,15,"{""alpha"": 100.0, ""valid_mse"": 0.05131754279136658}"
lgbm_all,fwd_ret_3m,2018,184,24,12,814505,85165,39582,15,"{""best_iteration"": 76, ""n_estimators"": 650, ""valid_score"": 0.05123844859446456}"
lgbm_no_network,fwd_ret_3m,2018,184,24,12,814505,85165,39582,10,"{""best_iteration"": 55, ""n_estimators"": 650, ""valid_score"": 0.05120474985834798}"
lgbm_network_pressure,fwd_ret_3m,2018,184,24,12,814505,85165,39582,8,"{""best_iteration"": 29, ""n_estimators"": 650, ""valid_score"": 0.05123441182392071}"
ridge_all,fwd_ret_3m,2019,196,24,12,858000,82254,39153,15,"{""alpha"": 100.0, ""valid_mse"": 0.04946187511086464}"
lgbm_all,fwd_ret_3m,2019,196,24,12,858000,82254,39153,15,"{""best_iteration"": 86, ""n_estimators"": 650, ""valid_score"": 0.049338808802039204}"
lgbm_no_network,fwd_ret_3m,2019,196,24,12,858000,82254,39153,10,"{""best_iteration"": 62, ""n_estimators"": 650, ""valid_score"": 0.04927831403604342}"
lgbm_network_pressure,fwd_ret_3m,2019,196,24,12,858000,82254,39153,8,"{""best_iteration"": 27, ""n_estimators"": 650, ""valid_score"": 0.049402319286566944}"
ridge_all,fwd_ret_3m,2020,208,24,12,900169,79261,40243,15,"{""alpha"": 100.0, ""valid_mse"": 0.051542866975069046}"
lgbm_all,fwd_ret_3m,2020,208,24,12,900169,79261,40243,15,"{""best_iteration"": 102, ""n_estimators"": 650, ""valid_score"": 0.05138580719253192}"
lgbm_no_network,fwd_ret_3m,2020,208,24,12,900169,79261,40243,10,"{""best_iteration"": 253, ""n_estimators"": 650, ""valid_score"": 0.05137432714376387}"
lgbm_network_pressure,fwd_ret_3m,2020,208,24,12,900169,79261,40243,8,"{""best_iteration"": 39, ""n_estimators"": 650, ""valid_score"": 0.05151688801101472}"
ridge_all,fwd_ret_3m,2021,220,24,12,940921,78903,46396,15,"{""alpha"": 0.1, ""valid_mse"": 0.0969412550330162}"
lgbm_all,fwd_ret_3m,2021,220,24,12,940921,78903,46396,15,"{""best_iteration"": 613, ""n_estimators"": 650, ""valid_score"": 0.09612127257829031}"
lgbm_no_network,fwd_ret_3m,2021,220,24,12,940921,78903,46396,10,"{""best_iteration"": 107, ""n_estimators"": 650, ""valid_score"": 0.09699257199539231}"
lgbm_network_pressure,fwd_ret_3m,2021,220,24,12,940921,78903,46396,8,"{""best_iteration"": 421, ""n_estimators"": 650, ""valid_score"": 0.09604765254689218}"
ridge_all,fwd_ret_3m,2022,232,24,12,980159,84014,50925,15,"{""alpha"": 0.1, ""valid_mse"": 0.12610352039337158}"
lgbm_all,fwd_ret_3m,2022,232,24,12,980159,84014,50925,15,"{""best_iteration"": 550, ""n_estimators"": 650, ""valid_score"": 0.1249013191642219}"
lgbm_no_network,fwd_ret_3m,2022,232,24,12,980159,84014,50925,10,"{""best_iteration"": 23, ""n_estimators"": 650, ""valid_score"": 0.12622160150257355}"
lgbm_network_pressure,fwd_ret_3m,2022,232,24,12,980159,84014,50925,8,"{""best_iteration"": 522, ""n_estimators"": 650, ""valid_score"": 0.12437618679757721}"
ridge_all,fwd_ret_3m,2023,244,24,12,1019617,95379,47959,15,"{""alpha"": 100.0, ""valid_mse"": 0.09155476838350296}"
lgbm_all,fwd_ret_3m,2023,244,24,12,1019617,95379,47959,15,"{""best_iteration"": 358, ""n_estimators"": 650, ""valid_score"": 0.09061426705774954}"
lgbm_no_network,fwd_ret_3m,2023,244,24,12,1019617,95379,47959,10,"{""best_iteration"": 631, ""n_estimators"": 650, ""valid_score"": 0.08994096884144179}"
lgbm_network_pressure,fwd_ret_3m,2023,244,24,12,1019617,95379,47959,8,"{""best_iteration"": 18, ""n_estimators"": 650, ""valid_score"": 0.09192155131045862}"
ridge_all,fwd_ret_3m,2024,256,24,9,1062116,99686,34251,15,"{""alpha"": 100.0, ""valid_mse"": 0.07989980280399323}"
lgbm_all,fwd_ret_3m,2024,256,24,9,1062116,99686,34251,15,"{""best_iteration"": 3, ""n_estimators"": 650, ""valid_score"": 0.08024457797111031}"
lgbm_no_network,fwd_ret_3m,2024,256,24,9,1062116,99686,34251,10,"{""best_iteration"": 151, ""n_estimators"": 650, ""valid_score"": 0.07893945937495929}"
lgbm_network_pressure,fwd_ret_3m,2024,256,24,9,1062116,99686,34251,8,"{""best_iteration"": 1, ""n_estimators"": 650, ""valid_score"": 0.0803205652430114}"
