spec,target,variable,months,mean_coef,nw_se,nw_t,coef_std,positive_month_share
direct_ownership_core,fwd_ret_1m,mktcap_proxy,296,0.00030618372990011525,0.0006712104932149117,0.45616648278780664,0.01341004693553573,0.5540540540540541
direct_ownership_core,fwd_ret_1m,owner_count,296,0.00022102006447139198,0.00102222307907733,0.21621509922363244,0.01626503602578663,0.46959459459459457
direct_ownership_core,fwd_ret_1m,owner_hhi,296,-0.0098257497366298,0.0021440204175870075,-4.582862017558682,0.0347619175014636,0.33783783783783783
direct_ownership_core,fwd_ret_1m,stock_sell_pressure,296,0.0015885686720249845,0.0009137965161437606,1.7384271486706646,0.019712647279520767,0.5067567567567568
direct_ownership_core,fwd_ret_1m,top_owner_share,296,0.003731256218060887,0.0018466423253482203,2.0205624916331786,0.03178974501297612,0.5472972972972973
direct_ownership_core,fwd_ret_1m,vol,296,-0.0027481049364000867,0.0010212745805154003,-2.690858059948205,0.017063363144970232,0.40202702702702703
network_core,fwd_ret_1m,intercept,296,0.00382021888607243,0.004028556618025134,0.9482847700289156,0.061074529633760526,0.5506756756756757
network_core,fwd_ret_1m,mktcap_proxy,296,-0.001242757094909925,0.0007471660454287271,-1.6632943942157135,0.012926055562868409,0.43243243243243246
network_core,fwd_ret_1m,network_degree,296,0.008591254109993163,0.0013591653872856771,6.320977704670907,0.02430790934174757,0.6554054054054054
network_core,fwd_ret_1m,network_peer_sell_pressure,296,-0.0016989791820019734,0.0007508382112540698,-2.262776662850301,0.01278509368349468,0.42567567567567566
network_core,fwd_ret_1m,network_weighted_degree,296,0.0018589676053214744,0.000963018478779198,1.9303550723949303,0.01702572813679644,0.6114864864864865
network_core,fwd_ret_1m,vol,296,-0.0019088606666900195,0.0009044281901937349,-2.1105718368653767,0.016708667702500568,0.39864864864864863
sell_pressure_mechanism,fwd_ret_1m,fragility_proxy,296,-0.001294113366030439,0.0005786151738210906,-2.236570046174735,0.009669670414212616,0.4222972972972973
sell_pressure_mechanism,fwd_ret_1m,intercept,296,0.006754490274290245,0.003824137600124946,1.7662780424191735,0.06108249758902267,0.5844594594594594
sell_pressure_mechanism,fwd_ret_1m,mktcap_proxy,296,0.0013947309807550157,0.0008825106724755832,1.580412593586628,0.014045401088734134,0.5608108108108109
sell_pressure_mechanism,fwd_ret_1m,network_peer_sell_pressure,296,-0.001760826423888532,0.0006698230262031164,-2.6287935096375454,0.010679524493942313,0.4189189189189189
sell_pressure_mechanism,fwd_ret_1m,stock_sell_pressure,296,0.0013201151322845862,0.0010078137956382,1.3098799976722095,0.02011402675958551,0.4864864864864865
sell_pressure_mechanism,fwd_ret_1m,vol,296,-0.0016919963503676647,0.0008163738321443255,-2.0725754351084333,0.01496501660420017,0.42905405405405406
full_core_no_controls,fwd_ret_1m,avg_manager_breadth,296,-0.0046618909608730245,0.0006746122724540232,-6.910474581072413,0.013398952558777584,0.2972972972972973
full_core_no_controls,fwd_ret_1m,fragility_proxy,296,-0.0015942468059448563,0.0006900167688927357,-2.3104464671244602,0.011034478969324081,0.39864864864864863
