stratifier,source_column,model,target,stratum,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
size,mktcap_proxy,lgbm_network_pressure,fwd_ret_3m,mid,185405,153,0.02843186382988347,4.493111482205528,0.020176894343259935,3.100184048482187,0.08070757737303974,0.5314536401116197,27.123655881978483,121.71895424836602,120.71895424836602,0.6776085806501208
size,mktcap_proxy,lgbm_network_pressure,fwd_ret_3m,small,183898,153,0.014346209544809023,0.901522687009974,0.010709768875605982,0.8683321457509577,0.042839075502423926,0.4766809465740631,29.42823405384814,120.72549019607843,119.72549019607843,0.21403503649825992
size,mktcap_proxy,lgbm_no_network,fwd_ret_1m,large,189908,155,0.016106261147711503,2.42631478403168,0.003052162435642643,1.3745542874695746,0.036625949227711715,0.5510310105737114,43.08754496116381,123.06451612903226,122.06451612903226,0.36536987601294285
size,mktcap_proxy,lgbm_no_network,fwd_ret_1m,mid,189855,155,0.03260105122891829,5.511255770492191,0.010770256468884853,3.433704687633839,0.12924307762661824,0.5244708636862365,46.7514791902444,123.02580645161291,122.02580645161291,0.8817665319320273
size,mktcap_proxy,lgbm_no_network,fwd_ret_1m,small,189806,155,0.0543169819374811,10.53619423101488,0.025634429556527352,3.4254545493145563,0.3076131546783282,0.49803187543918986,53.00561635700636,123.0,122.0,1.1312445438669243
size,mktcap_proxy,lgbm_no_network,fwd_ret_3m,large,186260,153,0.021120051515174664,2.787923730940137,0.01291701370080437,2.021752439486295,0.05166805480321748,0.5736663394850174,30.563633927386928,122.30065359477125,121.30065359477125,0.48691780470917706
size,mktcap_proxy,lgbm_no_network,fwd_ret_3m,mid,185405,153,0.04443162115306877,5.492122263730743,0.025374866671006874,2.8570922481122434,0.1014994666840275,0.5310549367141983,32.29127158563225,121.71895424836602,120.71895424836602,0.5696561498297045
size,mktcap_proxy,lgbm_no_network,fwd_ret_3m,small,183898,153,0.06914204236336996,7.6901062616083875,0.04668820231783402,2.8935872601893413,0.18675280927133608,0.5053018697334308,37.0562194730736,120.72549019607843,119.72549019607843,0.6886764436886638
size,mktcap_proxy,ridge_all,fwd_ret_1m,large,189908,155,0.02345483958368807,2.976505624821984,0.002346418206804646,0.7453089008547186,0.028157018481655756,0.5469089275057898,49.053928107232835,123.06451612903226,122.06451612903226,0.22437141204793626
size,mktcap_proxy,ridge_all,fwd_ret_1m,mid,189855,155,0.053932595387765986,7.788870014632306,0.013767296249665615,3.328395771521224,0.16520755499598738,0.5249784119460469,45.89481201642526,123.02580645161291,122.02580645161291,0.9059972939599398
size,mktcap_proxy,ridge_all,fwd_ret_1m,small,189806,155,0.08207849208349562,11.043201346751182,0.03360479308442947,5.226423212238661,0.40325751701315365,0.5026327138409152,65.02047357802034,123.0,122.0,1.4714541421509577
size,mktcap_proxy,ridge_all,fwd_ret_3m,large,186260,153,0.03446212700816527,3.1323107780585455,0.005987183772194055,0.7874576050605155,0.02394873508877622,0.5770154097019007,31.63640576445643,122.30065359477125,121.30065359477125,0.2059866312258766
size,mktcap_proxy,ridge_all,fwd_ret_3m,mid,185405,153,0.07279562070231925,6.689786553408215,0.034906763927233686,2.81822713964509,0.13962705570893474,0.5386123780669552,27.1332283927191,121.71895424836602,120.71895424836602,0.7077088386977383
size,mktcap_proxy,ridge_all,fwd_ret_3m,small,183898,153,0.09617848654998166,8.300173352584519,0.07274653695270995,3.855752739889681,0.2909861478108398,0.4962738061632349,28.802453541868072,120.72549019607843,119.72549019607843,0.9295750997906546
volatility,vol,lgbm_all,fwd_ret_1m,high_vol,189912,155,0.05473332664771656,5.144774217309322,0.02320426774339018,4.577306681500412,0.27845121292068215,0.5363772668303182,45.62825930635895,123.07096774193549,122.07096774193549,1.1766948586432664
volatility,vol,lgbm_all,fwd_ret_1m,low_vol,189814,155,0.02773186821653922,5.912405307517741,0.005539014577118101,2.3194948670951807,0.0664681749254172,0.5122947243830371,49.521824636422686,123.0,122.0,0.5097496322529415
volatility,vol,lgbm_all,fwd_ret_1m,mid_vol,189863,155,0.035277687634206405,6.654007650883889,0.015880734774858674,5.084430325398344,0.1905688172983041,0.5191214912840801,42.8020552523883,123.03870967741935,122.03870967741935,1.3384191317749774
volatility,vol,lgbm_all,fwd_ret_3m,high_vol,185251,153,0.1021692249542256,6.799750495667209,0.05322366290760762,4.440550927407177,0.21289465163043048,0.5579935082750405,38.15458680653873,121.63398692810458,120.63398692810458,1.0688591185715326
volatility,vol,lgbm_all,fwd_ret_3m,low_vol,184871,153,0.032862397824352636,3.0224813875986336,0.02132055127266602,2.483864052001135,0.08528220509066407,0.5370851001538277,31.02411286060873,121.41176470588235,120.41176470588235,0.5560431001838559
volatility,vol,lgbm_all,fwd_ret_3m,mid_vol,185458,153,0.03798410583673623,4.469376181950347,0.02458794088278858,2.638005083876057,0.09835176353115432,0.5321338853551382,27.5131864732918,121.77777777777777,120.77777777777777,0.5536040670987569
volatility,vol,lgbm_network_pressure,fwd_ret_1m,high_vol,189912,155,0.022364576443694894,2.019301618386368,0.006562883530885973,1.3720075447578055,0.07875460237063167,0.5280318459388785,40.727701509239516,123.07096774193549,122.07096774193549,0.38573317444017047
volatility,vol,lgbm_network_pressure,fwd_ret_1m,low_vol,189814,155,0.01729320444789325,2.5107599575759583,0.006780971399444858,2.5419218081629316,0.0813716567933383,0.5116882195147393,55.18093103654796,123.0,122.0,0.5958350565645518
volatility,vol,lgbm_network_pressure,fwd_ret_1m,mid_vol,189863,155,0.02586776174145303,3.0912050277669545,0.006898853980792598,2.026652023103978,0.08278624776951118,0.5171945044058696,42.65717725285704,123.03870967741935,122.03870967741935,0.5399223755058449
volatility,vol,lgbm_network_pressure,fwd_ret_3m,high_vol,185251,153,0.01766201835874802,1.295447532978674,0.008936502378540103,0.6700187117639953,0.03574600951416041,0.5402302667200576,26.370214377816993,121.63398692810458,120.63398692810458,0.1918521063553929
volatility,vol,lgbm_network_pressure,fwd_ret_3m,low_vol,184871,153,0.020191181319275803,1.7343004139990883,0.011905020668729182,1.2714761989674017,0.04762008267491673,0.5265726756036132,31.700839920658115,121.41176470588235,120.41176470588235,0.2854352112484856
volatility,vol,lgbm_network_pressure,fwd_ret_3m,mid_vol,185458,153,0.024511160807522064,2.1152145811413825,0.004620452747992902,0.41342349039593757,0.018481810991971607,0.5270570402570651,26.434965574975944,121.77777777777777,120.77777777777777,0.10793067945255896
